TOTAL REWARD,TILT,CRASH,GOAL,DISTANCEN_STEPS,DONE,ERRORE
-6.107591413767463,-0.05892214447880513,0,0,-0.03843954523629219,159,False,3.843954523629219
-6.1460021112115,-0.04150037862892374,0,0,-0.03841069744403628,160,False,3.841069744403628
-6.184352010345796,-0.008060875620837656,0,0,-0.03834989913429579,161,False,3.8349899134295793
-6.2226704371762445,-0.0830781889910023,0,0,-0.038318426830448706,162,False,3.8318426830448704
-6.260992436343132,-0.11102388582200748,0,0,-0.03832199916688793,163,False,3.832199916688793
-6.299321258166852,-0.042873225436801686,0,0,-0.03832882182371995,164,False,3.832882182371995
-6.337652313116274,-0.04735083394785214,0,0,-0.03833105494942179,165,False,3.8331054949421786
-6.375999098105959,-0.06542707025066712,0,0,-0.03834678498968557,166,False,3.8346784989685574
-6.41439736675589,-0.08867453018670005,0,0,-0.038398268649930414,167,False,3.839826864993041
-6.452866468574409,-0.07594598216528124,0,0,-0.03846910181851917,168,False,3.846910181851917
-6.4913538465067475,-0.017271138387502865,0,0,-0.03848737793233864,169,False,3.8487377932338642
-6.529835998258047,-0.011737113271603247,0,0,-0.03848215175129943,170,False,3.848215175129943
-6.56832386011347,-0.015685553622833703,0,0,-0.03848786185542269,171,False,3.8487861855422687
-6.60680550350684,-0.008122550170597804,0,0,-0.038481643393370825,172,False,3.8481643393370826
-6.64529087590346,-0.021945390448464174,0,0,-0.0384853723966203,173,False,3.8485372396620305
-6.683778772739802,-0.0254675528572324,0,0,-0.03848789683634231,174,False,3.8487896836342306
-6.72225820969164,-0.014684037585485752,0,0,-0.03847943695183771,175,False,3.8479436951837713
-6.760749216961014,-0.04615336451619656,0,0,-0.038491007269373885,176,False,3.8491007269373885
-6.799242248945649,-0.02517734000398041,0,0,-0.038493031984635,177,False,3.8493031984635
-6.837727142112001,-0.005497437023279741,0,0,-0.03848489316635161,178,False,3.8484893166351615
-6.876214048610603,-0.020362877467768492,0,0,-0.03848690649860094,179,False,3.848690649860094
-6.914692672849516,-0.06464950234488374,0,0,-0.038478624238913246,180,False,3.847862423891325
-6.953146040819454,-0.04303329036065575,0,0,-0.038453367969937785,181,False,3.8453367969937786
-6.991602378520675,-0.023274881927068218,0,0,-0.038456337701221206,182,False,3.8456337701221206
-7.030091819728139,-0.045356384270863206,0,0,-0.03848944120746417,183,False,3.8489441207464172
-7.068585798853373,-0.04589898821967229,0,0,-0.03849397912523402,184,False,3.8493979125234024
-7.107072300149936,-0.018134588533727507,0,0,-0.038486501296561955,185,False,3.8486501296561952
-7.14555522270351,-0.002394773884380735,0,0,-0.03848292255357415,186,False,3.8482922553574146
-7.18404997323576,-0.09001267235972121,0,0,-0.038494750532250224,187,False,3.8494750532250226
-7.222502651737121,-0.02241533551523769,0,0,-0.03845267850136009,188,False,3.845267850136009
-7.260894497192612,-0.06228888155607293,0,0,-0.0383918454554915,189,False,3.8391845455491502
-7.2992548499526855,-0.07857712135058913,0,0,-0.03836035276007326,190,False,3.836035276007326
-7.337617022111509,-0.006296109679131735,0,0,-0.03836217215882299,191,False,3.8362172158822987
-7.376010340531616,-0.03864709984451673,0,0,-0.03839331842010696,192,False,3.839331842010696
-7.414456899444273,-0.11972938707237366,0,0,-0.03844655891265707,193,False,3.8446558912657065
-7.452920967765313,-0.09160164531427316,0,0,-0.03846406832103979,194,False,3.846406832103979
-7.491378924342276,-0.04981799810699763,0,0,-0.038457956576963055,195,False,3.8457956576963053
-7.529838326705863,-0.03355048668633396,0,0,-0.038459402363587754,196,False,3.8459402363587754
-7.568309101276576,-0.03933649533884108,0,0,-0.038470774570712574,197,False,3.8470774570712574
-7.606787635749796,-0.00851324857960738,0,0,-0.038478534473219604,198,False,3.84785344732196
-7.645260124040748,-0.005108653237291059,0,0,-0.038472488290952456,199,False,3.847248829095246
-7.6837396545501475,-0.04037685746661038,0,0,-0.03847953050939965,200,False,3.847953050939965
-0.026514374808245728,-7.447901031714046e-12,0,0,-0.026514374808245728,1,False,2.6514374808245726
-0.05302871517920642,-0.0003763063195717098,0,0,-0.026514340370960694,2,False,2.6514340370960694
-0.07953973637517794,-0.0031637490340865404,0,0,-0.026511021195971533,3,False,2.6511021195971534
-0.10605076514674171,-0.01179017864969439,0,0,-0.026511028771563763,4,False,2.6511028771563763
-0.13256141192933774,-0.006319798235188969,0,0,-0.02651064678259604,5,False,2.651064678259604
-0.1590687536021662,-0.007224256594569825,0,0,-0.02650734167282847,6,False,2.650734167282847
-0.1855828907515416,-0.03504022401906615,0,0,-0.02651413714937539,7,False,2.651413714937539
-0.21209590177278145,-0.02081972374102016,0,0,-0.02651301102123985,8,False,2.651301102123985
-0.23859727239164016,-0.033408379436415836,0,0,-0.0265013706188587,9,False,2.65013706188587
-0.26509067798094804,-0.053164142834031654,0,0,-0.026493405589307895,10,False,2.6493405589307897
-0.2915825248529852,-0.0493225677858362,0,0,-0.026491846872037143,11,False,2.6491846872037144
